Movies
127 Hours
2001: A Space Odyssey
3 Idiots
A Beautiful Mind
A Good Year
A River Runs Through It
A Scanner Darkly
A Star Is Born
A Sun
A Taxi Driver
Amadeus
Apocalypto
Awakenings
Back to the Future
Before Sunrise
Beyond Beauty: Taiwan from Above
Braveheart
Butch Cassidy and the Sundance Kid
Cast Away
Chariots of Fire
Cinema Paradiso
Cloud Atlas
Coach Carter
Crash
Dead Poets Society
Din Tao: Leader of the Parade
Eternal Sunshine of the Spotless Mind
Fight Club
Ford v. Ferrari
Forrest Gump
Gattaca
Gone Girl
Good Will Hunting
Gravity
Her
Hidden Figures
I'm off then
Il Postino: The Postman
In the Mood for Love
Inception
Infernal Affairs (2002)
Interstellar
Into The Wild
Ip Man (2008)
Joker
Jurassic Park
Léon: The Professional
Life Is Beautiful
Life of Pi
Little Women
Lust, Caution
Malèna
Mary and Max
Million Dollar Baby
Minari
Minority Report
Moonlight
My Neighbor Totoro
Nomadland
Of Mice and Men
One Flew Over the Cuckoo's Nest
Parasite
Pay It Forward
Pink
Princess Mononoke
Ready Player One
Remember the Titans
Rocky
Saving Private Ryan
Seven Pounds
Seven Years in Tibet
Silver Linings Playbook
Slumdog Millionaire
Some Like it Hot
Soul Surfer
Spider-Man: Into the Spider-Verse
Spirited Away
Thank You for Smoking
The Artist
The Assassin
The Big Lebowski
The Big Short
The Bucket List
The Dark Knight
The Diving Bell and the Butterfly
The Godfather
The Grandmaster
The Green Mile
The Help
The Imitation game
The Intouchables
The Kings of Summer
The Legend of 1900
The Madness of King George
The Man Who Knew Infinity
The Martian
The Matrix
The Mission
The Peaceful Warrior
The Pianist
The Pilgrim
The Pursuit of Happiness
The Schindler's List
The Secret Life of Walter Mitty
The Shawshank Redemption
The Squid and the Whale
The Terminal
The Truman Show
The Way
Waking Life
When Harry Met Sally
Wild
Yes Man!
You've Got Mail
(500) Days of Summer
